Designator,Mid X,Mid Y,Rotation,Layer
U14,165.315265,-95.929399,270.0,bottom
U15,163.0,-79.5,0.0,top
U16,177.418,-54.9,270.0,bottom
U17,179.25,-51.5,0.0,top
U18,144.5,-90.4,90.0,bottom
U19,223.469,-46.658,270.0,bottom
U2,106.332,-54.483,0.0,bottom
U20,189.23,-120.142,0.0,bottom
U21,202.438,-135.316,180.0,bottom
U22,209.4465,-117.0655,270.0,bottom
U23,204.867,-110.44,0.0,bottom
U24,209.1475,-121.205,180.0,bottom
U25,209.1029,-127.298,0.0,bottom
U26,204.2,-124.789,0.0,bottom
U27,84.836,-135.728,180.0,bottom
U28,80.264,-140.1205,0.0,bottom
U3,89.568,-54.737,0.0,bottom
U4,166.568,-122.138,270.0,bottom
U5,182.032,-131.714,270.0,bottom
U6,97.794,-136.372,90.0,bottom
U7,112.222,-74.86,0.0,bottom
U8,112.105,-78.2325,0.0,bottom
U9,135.784,-41.383,270.0,bottom
Y1,187.038,-54.4,270.0,bottom
